scenario,query,mode,plan_time,candidate_time,server_time,post_time,total_time,hits,candidate_count,candidate_ratio,sentinel_count,preview_verify_ok,full_verify_ok
Keyword-H (high hit),COLLEGE,legacy,0.00012343334189305702,2.666492946445942e-07,0.028478633360161137,2.3427030666498467,2.3713054000011957,1249,6558,1.0,0,True,True
Keyword-H (high hit),COLLEGE,rapq,0.00012939999578520656,0.0015801666498494644,0.020715700016201783,0.2558640333202978,0.27828929998213425,1249,2354,0.35895089966453186,0,True,True
Keyword-H (high hit),COLLEGE,rapq_plus,0.00011793335822100441,0.002097066647062699,0.021065966653016705,0.26164936668161926,0.28493033333991963,1249,2354,0.35895089966453186,8,True,True
Keyword-M (mid hit),UNIVERSITY,legacy,0.00012010000258063276,3.00002284348011e-07,0.028208633322113503,2.3459215333374837,2.3742505666644624,800,6558,1.0,0,True,True
Keyword-M (mid hit),UNIVERSITY,rapq,0.00012363332401340207,0.0009431000216864049,0.012433499990341565,0.1524210999875019,0.16592133332354328,800,1388,0.21164989326014028,0,True,True
Keyword-M (mid hit),UNIVERSITY,rapq_plus,0.00011903332779183984,0.0013374333502724767,0.012707866650695602,0.15733983332756907,0.17150416665632898,800,1388,0.21164989326014028,8,True,True
Keyword-L (low hit),ORLANDO,legacy,0.00012523331679403782,2.66668697198232e-07,0.028238033351954073,2.324050166682961,2.3524137000204064,12,6558,1.0,0,True,True
Keyword-L (low hit),ORLANDO,rapq,9.859999408945441e-05,2.6400006997088592e-05,0.00019816666220625243,0.002628866641316563,0.0029520333046093583,12,20,0.0030497102775236353,0,True,True
Keyword-L (low hit),ORLANDO,rapq_plus,7.933331653475761e-05,0.00023696668601284424,0.0002537666781184574,0.003989666680960606,0.004559733361626665,12,20,0.0030497102775236353,8,True,True
Keyword-2 (phrase),NEW YORK,legacy,0.00018953336014722785,2.66668697198232e-07,0.0578951666636082,4.754061933335227,4.81214690002768,26,6558,1.0,0,True,True
Keyword-2 (phrase),NEW YORK,rapq,0.00024159997701644897,0.00017276666282365719,0.00154629999694104,0.024046266684308648,0.026006933321089793,26,107,0.01631594998475145,0,True,True
Keyword-2 (phrase),NEW YORK,rapq_plus,0.0001698333459595839,0.0003366666690756877,0.0015264666678073506,0.026757633313536644,0.028790599996379267,26,107,0.01631594998475145,8,True,True
Spatio-temporal,"ADVENTHEALTH ; R: 28.4561,-81.4877,28.6961,-81.2477",legacy,0.0002378333592787385,3.333164689441522e-07,0.07319080001131321,7.186878799984697,7.260307766671758,1,6558,1.0,0,True,True
Spatio-temporal,"ADVENTHEALTH ; R: 28.4561,-81.4877,28.6961,-81.2477",rapq,0.00021216665239383778,1.9033323042094707e-05,6.476667476817966e-05,0.0012450999929569662,0.0015410666431610782,1,1,0.00015248551387618176,0,True,True
Spatio-temporal,"ADVENTHEALTH ; R: 28.4561,-81.4877,28.6961,-81.2477",rapq_plus,0.0001980666614448031,0.0002439666617040833,0.00020390000039090714,0.004912933334708214,0.005558866658248007,1,1,0.00015248551387618176,8,True,True
